Video,Video title,Video publish time,Comments added,Subscribers gained,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,3483,7111,614975,146833.6124,4842,8177111,5.23
Q9yI9D_hZ64,¿QUÉ TAN DISTINTO HABLAMOS ENTRE LATINOS?,"Jun 14, 2021",100,146,8519,1987.4046,139,85438,7.39
NeAzuFiwJyQ,¿DE PIÑATAS A TRAGOS Y REGGAETON? | TIPOS DE FIESTAS,"Jun 7, 2021",98,24,8074,2569.666,21,99544,5.49
zoqoy3MxDLA,¡TEORÍAS DE DISNEY QUE TE VOLARÁN LA CABEZA!,"Aug 2, 2021",85,409,14041,3177.2796,394,108867,10.05
2TAx08rADho,"¿UNFOLLOW, MUTEAR Y NO DARSE MALA VIDA? 😂","Jul 15, 2021",73,16,5197,1376.1387,14,68870,5.61
5oWFJ5M_xKU,UN DÍA ERES JOVEN Y AL OTRO EL CILANTRO HUELE FRESCO 😂,"May 31, 2021",72,18,5832,1280.2947,16,75678,5.71
a6XiYhNVED4,COSAS QUE DEBEN NORMALIZARSE *SIN CENSURA* ft. @ISAIASLANDAETA,"Jun 3, 2021",71,85,10689,3285.4865,82,108071,6.64
Wxolm-rb7OY,¡COSAS QUE NOS HACEN SENTIR BIEN!,"Jun 10, 2021",69,48,6764,1367.5532,46,84830,6
5OA-m5aF3tU,ANÉCDOTAS PARANORMALES | ¿ESTAMOS SOLOS EN EL MUNDO?,"Jul 26, 2021",54,35,6179,1743.8594,32,89721,4.71
F2HDlFPzqaI,¿EXISTE UN HIJO FAVORITO EN LAS FAMILIAS?,"May 6, 2021",54,100,6805,1241.6145,96,74166,6.96
Ixfaz9CV-PY,LOS ESCALOFRIANTES CASOS DE MARTHA LAMBERT Y TIMMOTHY PITZEN,"Jul 8, 2021",54,8,4016,856.9715,5,66932,4.47
EbPLqQjA9TU,¿ES COMODIDAD O COSTUMBRE? MUDARSE EN PAREJA,"Aug 23, 2021",50,33,7308,2160.7779,30,81123,6.32
1_aY-cEdTyM,PERDONAR INFIDELIDADES Y LAS TRAICIONES DE AMISTAD 💔,"Jul 5, 2021",49,16,5483,1417.1008,13,65949,6.21
Tk8ZNS6Paio,¡HABLEMOS DE POSITIVIDAD TÓXICA!,"Aug 9, 2021",47,19,5473,1456.2477,17,72111,5.42
mHt8OulOKDI,¿SOMOS UN GRUPO MALA INFLUENCIA? 🔥😈,"Jun 21, 2021",47,22,5815,1358.6152,19,65050,6.42
_HiT6ExbKaU,HABLEMOS DE ASTROLOGÍA CON @DIDIDAZE 🔮,"Sep 27, 2021",46,55,7267,2308.3203,54,88192,5.15
BP9k8tXZlME,COMPRAR EN EL SUPERMERCADO: AMOR/ODIO 😂,"Aug 16, 2021",44,11,5406,1908.7056,10,62944,5.84
0Yk5to3zXRM,PROBLEMAS DE PRIMER MUNDO Y EL SÍNDROME DE MIA COLUCCI 😂,"Nov 8, 2021",43,25,6138,1723.2748,21,66845,6.57
4eufrbjy-ec,COSTUMBRES EXTRAÑAS 😂 ¿QUE PIENSAS AL BAÑARTE?,"Jun 24, 2021",43,22,5923,1133.3394,21,66932,6.71
AM7eCHi02lU,"¡FUMAR, VIDA S3XUAL, TATTOOS Y OTROS TABÚES!","Jun 28, 2021",42,79,8517,2328.4636,75,89977,6.76
hLEuYB1YUJw,¿LA EDAD IMPORTA O SOLO ES UN NÚMERO?,"May 17, 2021",41,102,11903,2979.7048,96,119364,5.83
149COO57ass,¡ÉSTE DÍA NOS CAMBIÓ LA VIDA!,"Jun 17, 2021",40,24,5327,1117.9798,20,71838,5.45
4j7DqXPvOdM,"¡SECRETOS DE HARRY POTTER, CREPÚSCULO Y JUEGOS DEL HAMBRE!","Sep 6, 2021",40,19,4395,1263.6381,15,62901,4.8
6CQT11ZDNWw,¿COMO ERA NUESTRA VIDA DE ESTUDIANTE? | TIPOS DE PERSONAS COLEGIAL,"Jul 12, 2021",40,6,5933,1877.4078,5,75095,5.62
OY7sw4PV2fM,HABLEMOS DE LOS TIPOS DE ABUELOS 😂,"Jul 19, 2021",40,11,4851,1503.5041,9,82148,4.2
TOKg7uNaddQ,¿HABLAR DE S3X0 EN PÚBLICO? | LA CONFIANZA DA ASCO 😂,"May 24, 2021",37,48,7528,1742.0379,40,81915,6.76
gbVRqto3oDs,SECRETOS QUE EL MUNDO NO QUIERE QUE SEPAS 🥴,"Oct 4, 2021",37,28,6289,1864.3473,26,69406,6.1
hW-RaPGJ-vA,¿DIEGO BONETA O MARIO CASAS? | ¡RECOMENDACIONES DE TODO!,"May 20, 2021",37,9,3566,663.7428,7,61069,4.26
0i1pVmRkUg4,¡LA PESADILLA DE MUDARSE! | ¿CUANDO NOS MUDAMOS?,"Jul 22, 2021",36,8,4416,1294.9659,5,61609,5.25
44vtj5bIXkQ,¡COSAS QUE HACEMOS LOS HOMBRES Y LAS MUJERES!,"Nov 11, 2021",35,14,4352,918.4581,11,40317,7.66
4UWkS0z6Igs,¿CÓMO LIDIAR CON ESTRÉS? 🥴,"Oct 11, 2021",35,6,4439,1219.6935,5,74949,4.21
NJodcKhbyjs,¡LOS TIPOS DE PADRES!,"Aug 30, 2021",35,30,5888,1812.583,26,79796,5.24
k6BktqTI9UA,¡CONTAMOS NUESTROS PEORES MIEDOS!,"May 27, 2021",35,26,5228,964.776,19,75757,5.17
VzTeFthL1Lc,¡HABLEMOS DEL CROSSFIT Y DE GRABARSE EN EL GYM!,"Jan 27, 2022",34,7,2796,641.0048,5,30324,6.55
zsMnLmKsKPk,¿SIRVE TENER UNA RELACIÓN A DISTANCIA?,"Nov 1, 2021",34,26,5838,1852.5446,22,60850,6.5
G3K58JVNJJI,¿CÓMO SERÁ LA VIDA EN EL METAVERSO?,"Nov 22, 2021",33,4,2934,687.6766,-2,40598,5.05
Iavz6v-KxMA,¿TE MOLESTA LO QUE HACEN LOS DEMÁS? 😡,"Sep 13, 2021",33,11,5056,1498.7076,9,64788,5.45
ferI5YRsHfQ,¡TIPOS DE FAMILIARES!,"Mar 24, 2022",31,7,3358,867.7135,5,27396,9.08
PFwGItTwfsI,¿CÓMO SOMOS LOS LATINOS? 🔥,"Sep 23, 2021",30,13,5197,1386.3256,11,67534,5.56
ny6jOPHH1Ho,¡TIENDAS DE SEGUNDA MANO Y LIMPIEZAS DE CLOSET!,"Oct 14, 2021",29,0,3361,630.2172,-1,42635,5.84
